Data Set;Business Object;Field name;Field w/out;Field type;Description;Privacy Classification (data class);Service Now;Luca;
Employee;Employee;Active Status;ActiveStatus;Boolean;"Returns 'Yes' if the worker is active as of the report date if provided; excludes workers who are on certain types of leave or who are terminated.";Public;x;x;
Employee;Employee;Age Group;AgeGroup;Single instance;Returns the age group for the worker.;Confidential;;;
Employee;Employee;All Home Addresses;AllHomeAddresses;Multi-instance;Returns all home addresses including the primary and alternate for a worker.;Confidential;;;
Employee;Employee;All Work Addresses;AllWorkAddresses;Multi-instance;Returns all the work addresses for a worker either from their default job location or their work contact addresses.;Public;;;
Employee;Employee;Alternative Worker ID;AlternativeWorkerID;Text;Contingent Worker Position ID (if any) for a worker who’s currently an employee and an Employee ID (if any) for a worker who's currently a Contingent Worker. Empty if a worker has not been both an employee and a contingent worker.;Public;;;
Employee;Employee;Assignment Details;AssignmentDetails;Text;The assignment details for a contingent worker from the hire event.;Public;;;
Employee;Employee;Birth/Maiden Name;Birth/MaidenName;Text;Additional Name;Public;;;
Employee;Employee;Business Title;BusinessTitle;Text;The business title for the worker's primary position. If no business title is defined for a position, the position title is returned back.;Public;;;
Employee;Employee;Citizenship Status;CitizenshipStatus;Multi-instance;Indicates the citizenship status for the person. Returns value based on the localization setting for Worker.;Confidential;;;
Employee;Employee;City of Birth ;CityofBirth;Text;Returns the city of birth for the person. Returns value based on the localization setting for Worker;Confidential;;;
Employee;Employee;Complete Phone Number;CompletePhoneNumber;Text;The complete phone number for the candidate, including the Country Phone Code and Extension if applicable.;Public;;;
Employee;Employee;Contingent Worker;ContingentWorker;Single instance;Identifies the contingent worker and allows you to drill into the details and access related actions.  Will be blank if worker is not a contingent worker.;Public;;;
Employee;Employee;Contingent Worker Contract End Date;ContingentWorkerContractEndDate;Date;The effective end date of the ~contingent worker’s~ contract. If the contract end date is removed, then this report field returns a blank value.;Confidential;;;
Employee;Employee;Contingent Worker Converted to Employee;ContingentWorkerConvertedtoEmployee;Boolean;Returns employees who were previously contingent workers.;Public;;;
Employee;Employee;Contingent Worker Supplier;ContingentWorkerSupplier;Single instance;Supplier for a contingent worker;Public;;;
Employee;Employee;Continuous Service Date;ContinuousServiceDate;Date;Employee service date taking into account breaks in service.;Confidential;;;
Employee;Employee;Contract Assignment Details;ContractAssignmentDetails;Text;The contract assignment details for the contingent worker's primary position.;Confidential;;;
Employee;Employee;Contract End Date;ContractEndDate;Date;The effective end date of the ~contingent worker’s~ contract. If the contract end date is removed, then this report field continues returning the most recent contract end date.;Public;;;
Employee;Employee;Cost Center - ID;CostCenter-ID;Numeric;The cost center id for the worker's primary position.;Public;x;x;
Employee;Employee;Country of Birth;CountryofBirth;Single instance;Indicates the country of birth for the person. Returns value based on the localization setting for Worker;Confidential;;;
Employee;Employee;Currency for Primary Position;CurrencyforPrimaryPosition;Single instance;The currency for the contingent worker's primary position.;Public;;;
Employee;Employee;Date of Birth;DateofBirth;Date;Returns the Date of Birth for the person. Returns value based on the localization setting for Worker;Confidential;;;
Employee;Employee;Eligible for Rehire;EligibleforRehire;Single instance;Yes if the pre-hire is marked as Eligible for Rehire during their exit interview or termination. If no value is selected, or if the Eligible for Rehire field is updated on the pre-hire record after the most recent termination, this report field displays the value on the pre-hire record.;Confidential;;;
Employee;Employee;Email - work;Email-work;Multi-instance;The work email address for the worker;Public;x;x;
Employee;Employee;Email Address;EmailAddress;Text;The email address of the candidate.;Confidential;;;
Employee;Employee;Emergency Contacts;EmergencyContacts;Multi-instance;Contains the emergency contacts for the worker;Confidential;;;
Employee;Employee;Employee ID;EmployeeID;Text;The Employee ID or Contingent Worker ID for the worker.;Public;x;x;
Employee;Employee;End Employment Date;EndEmploymentDate;Date;The end employment date for a fixed term employee's primary position.;Confidential;x;x;
Employee;Employee;Ethnicities;Ethnicities;Multi-instance;The ethnicity or ethnicities for the person.;Confidential;;;
Employee;Employee;Exempt;Exempt;Boolean;"Returns ""Yes"" if the worker's primary position is exempt from overtime.";Public;;;
Employee;Employee;Former Worker;FormerWorker;Single instance;Returns the Former Worker for this Role.;Public;;;
Employee;Employee;Full Name;FullName;Text;The full name of the candidate.;Public;;;
Employee;Employee;Gender ;Gender;Single Instance;Indicates the Gender for the person. ;Confidential;;;
Employee;Employee;Government ID;GovernmentID;Text;The ID used by governments as a persons unique identifier (i.e. SSN);Confidential;;;
Employee;Employee;Hire Date;HireDate;Date;The worker's most recent hire date. ;Public;x;x;
Employee;Employee;Hire Year;HireYear;Date;The year from the most recent hire date for a worker.;Public;;;
Employee;Employee;International Assignment Location Work Address;InternationalAssignmentLocationWorkAddress;Single instance;The work address of the first active international assignment. The international assignment work address is the IA location address unless an alternate address has been entered with an effective date that is greater than or equal to the IA start date and less than the IA end date (or there is no IA end date).;Public;;;
Employee;Employee;International Assignment Work Address;InternationalAssignmentWorkAddress;Multi-instance;The work address of the first active international assignment. The international assignment work address is the IA location address unless an alternate address has been entered with an effective date that is greater than or equal to the IA start date and less than the IA end date (or there is no IA end date).;Public;;;
Employee;Employee;Is International Assignee;IsInternationalAssignee;Text;Identifies if a worker is on an international assignment.;Public;;;
Employee;Employee;Is Manager;IsManager;Text;Identifies if the worker has a manager role.;Public;x;x;
Employee;Employee;Job Level - Primary Position;JobLevel-PrimaryPosition;Single instance;Job level for the worker from the job profile associated with the worker's primary position. It is retrieved from the job profile associated with the worker's primary position;Public;;;
Employee;Employee;Legal Name - First Name;LegalName-FirstName;Text;The worker's legal first or given name.;Public;x;x;
Employee;Employee;Legal Name - Last Name;LegalName-LastName;Single instance;The worker's legal family name.;Public;x;x;
Employee;Employee;Legal Name - Middle Name;LegalName-MiddleName;Single instance;The worker's legal middle name.;Public;;;
Employee;Employee;Length of Service - Worker - By Tenure Category;LengthofService-Worker-ByTenureCategory;Single instance;The length of service of the worker by tenure category. Examples: Less than 1 year, 1-2 years, 3-4 years. You can view values for this report field if you have access to the worker.;Public;;;
Employee;Employee;Long Formatted Legal Name;LongFormattedLegalName;Text;The legal name of a candidate using long display format.;Public;;;
Employee;Employee;Long Formatted Preferred Name;LongFormattedPreferredName;Text;The preferred name of a candidate using long display format.;Public;;;
Employee;Employee;Management Level;ManagementLevel;Single instance;The worker's management level.;Public;;;
Employee;Employee;Manager ID;ManagerID;Single instance;The Employee ID of the worker's manager.;Public;x;x;
